hale	 adj.  健壮的， 矍铄的
refresh	 v.  消除…的疲劳， 使精神振作
inhibit	 v.  阻止； 抑制
intimate	 adj. 亲密的 v.  暗示 n.  密友
disclose	 v.  揭露
entrust	 v.  委托； 托付
fecundity	 n.  多产， 丰饶； 繁殖力， 生殖力
religion	 n.  宗教； 宗教信仰
ingeniousness	 n.  独创性
diagram	 n.  图解， 图表
disparate	 adj.  迥然不同的
automated	 adj.  自动的
dilapidate	 v.  荒废， 毁坏
charm	 v.  吸引， 迷住 n. 魅力；咒语，咒符
tragedy	 n.  惨剧， 惨事， 灾难
antagonize	 v.  使…敌对； 与…对抗
chart	 v.  绘制地图， 制订计划 n. 图表
evoke	 v.  引起； 唤起
crudity	 n.  粗糙， 生硬
antagonism	 n.  对抗， 敌对
tilt	 v. 倾斜 n.  倾斜； 斜坡
secure	 adj. 安全的；稳固的 v.  握紧， 关牢； 使安全
equivocator	 n.  说模棱话的人， 说话支吾的人
off-key	 adj.  走调的， 不和谐的
impolitic	 adj.  不明智的， 失策的
infertile	 adj.  贫瘠的， 不结果实的
immense	 adj.  极大的； 无限的
jettison	 v. 向外抛弃货物 n. 抛弃的货物； 抛弃
nonplussed	 adj.  不知所措的， 陷于困境的
definite	 adj.  清楚的， 明确的
wary	 adj.  谨慎的， 小心翼翼的
adapt	 v.  使适应； 修改
conflate	 v.  合并
dissemble	 v.  假装， 掩饰
swig	 v.  痛饮
rattle	 v.  使发出咯咯声； 使慌乱
scotch	 v.  镇压， 扑灭
warp	 v. 弯曲，变歪 n.  弯曲， 歪斜
injurious	 adj.  有害的
chant	 v.  歌唱， 吟诵 n. 圣歌
osseous	 adj.  骨的， 多骨的
prank	 n.  恶作剧， 玩笑
squall	 n.  短暂、 突然且猛烈的风暴； 短暂的骚动
heartrending	 adj.  令人心碎的
brute	 n&adj.  野兽； 残忍的 brutal)
tint	 v.  给…淡淡地着色； 染 n. 色泽
toady	 n.  谄媚者， 马屁精
untenable	 adj.  难以防守的； 不能租赁的
squabble	 n.  争吵
faddish	 adj.  流行一时的， 时尚的
partiality	 n.  偏袒， 偏心
venomous	 adj.  有毒的
steady	 adj.  稳定的； 不变的
cower	 v.  畏缩， 蜷缩
attenuate	 v. 变薄；变弱 adj.  减弱的
ravish	 v.  使着迷； 强夺
juxtapose	 v.  并列， 并置
yen	 v.  渴望
cuddle	 v. 搂抱，拥抱 n.  搂抱， 拥抱
temerity	 n.  鲁莽， 大胆
infinitesimal	 adj. 极微小的 n.  极小量
contentious	 adj.  好争吵的； 有争议的
fructify	 v.  结果实； 成功
exult	 v.  欢腾， 喜悦
disposable	 adj.  一次性的； 可自由使用的
rakish	 adj.  潇洒的； 放荡的
clarity	 n.  清楚， 明晰
painstakingly	 adv.  细心地， 专注地； 辛苦地
unprepossessing	 adj.  不吸引人的
verisimilar	 adj.  好像真实的， 逼真的； 可能的
analgesia	 n.  无痛觉， 痛觉丧失
illustrative	 adj.  解说性的， 用作说明的
prate	 v.  瞎扯， 唠叨
befoul	 v.  弄脏， 诽谤
hew	 v.  砍伐； 遵守
deprive	 v.  剥夺， 使丧失
swoop	 v.  猛扑； 攫取
floral	 adj.  花的， 植物的
collusive	 adj.  共谋的
labile	 adj.  易变化的， 不稳定的
endemic	 adj.  地方性的
dossier	 n.  卷宗， 档案
nugatory	 adj.  无价值的， 琐碎的
supreme	 adj.  最高的； 极度的
unarticulated	 adj.  表达不清的
dawdle	 v.  闲荡， 虚度光阴
blatant	 adj.  厚颜无耻的； 显眼的； 炫耀的
pungent	 adj.  辛辣的， 刺激的； 尖锐的， 尖刻的
perfunctory	 adj.  例行公事般的， 敷衍的
forestall	 v.  预先阻止， 先发制人
nauseate	 v.  作呕， 厌恶
wavy	 adj.  波状的， 多浪的； 波动起伏的
munition	 n.  军火， 军需品
worship	 v.  崇拜， 敬仰 n. 崇拜，敬仰
jocund	 adj.  快乐的， 高兴的
stubborn	 adj.  固执的； 难以改变的
imprecise	 adj.  不精确的
glorify	 v.  吹捧， 美化
sinuous	 adj.  蜿蜒的， 迂回的
chubby	 adj.  丰满的， 圆胖的
bucolic	 adj.  乡村的； 牧羊的
sartorial	 adj.  裁缝的， 缝制的
attest	 v.  证明， 证实
berate	 v.  猛烈责骂
entice	 v.  诱使， 引诱
profligate	 adj. 挥霍的，浪费的 n.  恣意挥霍者
impropriety	 n.  不得体的言行举止； 不合适， 不适当
deficient	 adj.  有缺点的； 缺少的； 不足的
grasping	 adj.  贪心的， 贪婪的
entirety	 n.  整体， 全面
unify	 v.  统一， 使成一体； 使相同
immobile	 adj.  稳定的， 不动的， 静止的
reverse	 v.  倒车； 反转； 彻底转变 n. 反面；相反的事物
garrulous	 adj.  唠叨的， 多话的
char	 v.  烧焦； 把…烧成炭
waxy	 adj.  像蜡的， 苍白的， 光滑的
gallant	 adj.  勇敢的， 英勇的； 献殷勤的
trinket	 n.  小装饰品， 不值钱的珠宝； 琐事
beam	 n.  大梁； 光线
hie	 v.  疾走， 快速
perspire	 v.  出汗
bruit	 v.  散布
peremptory	 adj.  不容反抗的； 专横的
suavity	 n.  柔和， 愉快
forebode	 v.  预感， 预示， 预兆
potential	 adj.  潜在的， 可能的
vestigial	 adj.  退化的
psyche	 n.  心智， 精神
croak	 v.  发牢骚， 抱怨 n. 蛙鸣声
vigilant	 adj.  机警的， 警惕的
discriminatory	 adj.  歧视的， 差别对待的， 偏见的
incarnate	 adj.  具有人体的； 化身的， 拟人化的
extrapolate	 v.  预测， 推测
valorous	 adj.  勇敢的
stimulate	 v.  激励； 激发
square	 v.  一致， 符合； 结清
counteract	 v.  消除， 抵消
debilitate	 v.  使衰弱
interference	 n.  干涉， 妨碍
evocative	 adj.  唤起的， 激起的
distortion	 n.  扭曲； 曲解
eulogistic	 adj.  颂扬的， 歌功颂德的
colony	 n.  菌群； 殖民地
allusion	 n.  暗指， 间接提到
evanescent	 adj.  易消失的， 短暂的
artisan	 n.  技工
exude	 v.  渗出， 慢慢流出； 洋溢
restore	 v.  使回复， 恢复； 修复， 修补
sprout	 v. 长出，萌芽 n.  嫩芽
alternative	 adj.  轮流的， 交替的； 两者择一的
lassitude	 n.  疲倦无力， 没精打采
misconstrue	 v.  误解， 曲解
mean	 adj.  吝啬的
asunder	 adj&adv.  分离的； 化为碎片的
chafe	 v.  擦热， 擦破； 激怒
pedestrian	 adj. 徒步的；缺乏想象力的 n.  行人
monstrous	 adj.  巨大的； 丑陋的， 外表可怕
appall	 v.  使惊骇， 使胆寒
lurch	 v. 突然不稳地行走[移动]，蹒跚而行 n. 突然的移动
cordiality	 n.  诚恳， 热诚
jumpy	 adj.  紧张不安的， 心惊肉跳的
stride	 v.  大步行走
meek	 adj.  温顺的， 顺从的
rectitude	 n.  诚实， 正直， 公正
tenable	 adj.  站得住脚的， 合理的
chic	 adj.  漂亮的， 时髦的
stimulant	 n.  兴奋剂， 刺激物
appreciate	 v.  欣赏； 感激
conventionalize	 v.  使按惯例， 使习俗化
predictable	 adj.  可预知的
dental	 adj.  牙齿的， 牙科的
bleach	 v. 去色，漂白 n.  漂白剂； 漂白的行为
diverse	 adj.  不同的； 多样的
murderous	 adj.  蓄意谋杀的， 凶残的； 极厉害的， 要命的
dissolute	 adj.  放荡的， 无节制的
court	 n. 法庭；
distort	 v.  扭曲， 弄歪
subsidiary	 adj.  辅助的； 次要的
interrelate	 v.  相互关联， 相互影响
entreat	 v.  恳求
diurnal	 adj.  白昼的， 白天的
gaunt	 adj.  憔悴的， 瘦削的
precipitous	 adj.  陡峭的
timorous	 adj.  胆小的， 胆怯的
agile	 adj.  敏捷的， 灵活的
bulky	 adj.  庞大的； 笨重的
hoe	 n.  锄头
depict	 v.  描绘； 描写， 描述
obstruction	 n.  阻碍， 妨碍
edify	 v.  陶冶， 启发
perennial	 adj.  终年的， 全年的； 永久的， 持久的
unmatched	 adj.  无可匹敌的
vanity	 n.  虚荣， 自负
characteristic	 adj. 有特色的；典型性的 n.  与众不同的特征
uncouth	 adj.  粗野的， 笨拙的
affix	 v.  黏上， 贴上； 添上 n.  词缀
fallacy	 n. 错误， 谬论
bully	 v. 威胁，以强欺弱 n.  欺凌弱小者
blare	 v.  高声发出
chip	 n.  薄片， 碎片； 集成电路片
expository	 adj.  说明的
self-doubt	 n.  自我怀疑
assemble	 v.  集合， 聚集； 装配， 组装
repel	 v.  击退； 使反感
underscore	 v.  在…下面画线； 强调
restored	 adj.  恢复的
thrive	 v.  茁壮成长； 繁荣， 兴旺
volcanic	 adj.  火山的
ejaculate	 v.  突然叫出或说出； 射出
celebrity	 n.  名声； 名人
dispatch	 v. 派遣；迅速处理；匆匆吃完 n.  迅速
inborn	 adj.  天生的， 先天的
recreational	 adj.  娱乐的， 休闲的
bulge	 v.  膨胀， 鼓起 curve outward) n. 凸起，膨胀
overwrought	 adj.  紧张过度的， 兴奋过度的
presentiment	 n.  预感
blockade	 v&n.  封锁
vacuous	 adj.  空虚的， 发呆的
concave	 adj.  凹的
shallowness	 n.  浅； 浅薄
prerequisite	 n.  先决条件
blandishment	 n.  奉承， 讨好
gymnastic	 adj.  体操的， 体育的
gobble	 v.  贪婪地吃， 狼吞虎咽； 吞没
sensitize	 v.  使某人或某事物敏感
probity	 n.  刚直， 正直
reckon	 v.  推断， 估计； 猜想， 设想
excerpt	 n.  摘录， 选录， 节录
abet	 v.  教唆； 鼓励， 帮助
confusion	 n.  困惑， 糊涂； 混乱, 骚乱
upbraid	 v.  斥责， 责骂
world-beater	 n.  举世无双的人
ingratiate	 v.  逢迎， 讨好
buffoon	 n.  丑角； 愚蠢的人
preempt	 v.  以优先权获得 so as to obtain the right to buy before others)； 取代(to replace with)
cursory	 adj.  粗略的； 草率的
corroborate	 v.  支持或证实； 强化
bland	 adj.  情绪平稳的； 无味的
microbe	 n.  微生物
trickle	 v. 细细地流 n.  细流
checkered	 adj.  多变的
atone	 v.  赎罪， 补偿
hallow	 v.  把…视为神圣； 尊敬， 敬畏
disparage	 v.  贬低， 轻蔑
self-sufficient	 adj.  自给自足的
lumber	 v. 跌跌撞撞地走，笨拙地走 n.  杂物； 木材
flimflam	 n.  欺骗； 胡言乱语
outlast	 v.  比…持久
utopian	 adj.  乌托邦的， 空想的
tangible	 adj.  可触摸的
spectacular	 adj.  壮观的， 引人入胜的
hue	 n.  色彩， 色泽； 信仰
icicle	 n.  冰柱， 冰垂
ransom	 v.  赎回 n. 赎金；赎身
topsy-turvy	 adj.  颠倒的， 相反的； 乱七八糟的， 混乱的
incubus	 n.  梦魇； 沉重的负担
simulation	 n.  模拟
adventurous	 adj.  爱冒险的， 大胆的, 充满危险的
irrefutable	 adj.  无可辩驳的， 毋庸置疑的
artifice	 n.  巧妙办法； 诡计
collaborate	 v.  合作， 协作； 通敌
parturition	 n.  生产， 分娩
desecrate	 v.  玷辱， 亵渎
superficial	 adj.  表面的， 肤浅的
mirage	 n.  海市蜃楼； 幻想， 幻影
impasse	 n.  僵局； 死路
subterranean	 adj.  地下的， 地表下的
refrigerate	 v.  使冷却， 冷藏
nonconformist	 n. 不遵守规范的人，不遵循常规的人
spatial	 adj.  有关空间的， 在空间的
penury	 n.  贫穷； 吝啬
meld	 v.  混合， 合并
bouffant	 adj.  蓬松的； 鼓胀的
valedictory	 adj.  告别的， 离别的
scuff	 v.  拖着脚走
platonic	 adj.  理论的； 精神上的， 纯友谊的 close and deep but not sexual)
undercut	 v.  削价抢生意
sensitive	 adj.  敏感的
blockage	 n.  障碍物
soggy	 adj.  湿透的
shield	 v.  掩护， 保护 n. 盾
floppy	 adj.  松软的； 软弱的
instantaneous	 adj.  立即的， 即刻的； 瞬间的
obsession	 n.  入迷， 着迷； 固执的念头
nonporous	 adj.  无孔的； 不渗透的
zephyr	 n.  和风； 西风
malfunction	 v. 发生故障，失灵 n.  故障
buoyant	 adj.  有浮力的； 快乐的
generalize	 v.  概括， 归纳
accredit	 v.  授权
well-deserved	 adj.  当之无愧的； 罪有应得的
paradoxical	 adj.  矛盾的； 不正常的
subdue	 v.  征服； 压制； 减轻
postdate	 v.  填迟…的日期 that is later than the actual date)
gaudy	 adj.  俗丽的
heresy	 n.  异端邪说
trigger	 v.  引发， 引起， 触发 n. 扳机
brownish	 adj.  成褐色的
culmination	 n.  顶点； 高潮
segregate	 v.  分离， 隔离
flaggy	 adj.  枯萎的； 松软无力的
withhold	 v.  抑制； 扣留， 保留
presumptuous	 adj.  放肆的， 过分的
mend	 v.  修改， 改进
spectral	 adj.  幽灵的； 谱的， 光谱的
rotate	 v.  旋转， 转动； 轮流， 循环
spartan	 adj.  简朴的； 刻苦的
conscience	 n.  良心， 是非感
engulf	 v.  吞噬
embitter	 v.  使痛苦， 使难受
tantalize	 v.  挑惹， 挑逗
misdirect	 v.  误导
blade	 n.  刀刃， 刀口
extrude	 v.  挤出， 推出， 逐出； 伸出， 突出
diverge	 v.  分歧， 分开
opponent	 n.  对手， 敌手
spiritedness	 n.  有精神， 活泼
accelerate	 v.  加速； 促进
supplementary	 adj.  增补的， 补充的
gangway	 n.  跳板； 样板； 舷梯
jolly	 adj.  欢乐的， 快乐的
flagrant	 adj.  罪恶昭彰的； 公然的
immure	 v.  监禁
confiscate	 v.  没收； 充公
filial	 adj.  子女的
petulance	 n.  易怒， 性急， 暴躁
regressive	 adj.  退步的， 退化的
notoriety	 n.  臭名昭著； 臭名昭著的人
canonical	 adj.  符合规定的； 经典的
gangly	 adj.  身材瘦长难看的
forger	 n.  伪造者； 打铁匠
vernal	 adj.  春季的； 春季般的， 青春的
curtail	 v.  削减， 缩短
strife	 n.  纷争， 冲突
transgression	 n.  违法， 犯罪
peerless	 adj.  出类拔萃的， 无可匹敌的
invulnerable	 adj.  不会受伤害的， 刀枪不入的
transform	 v.  改变， 变化； 变换， 转换
magnitude	 n.  重要性； 星球的亮度
genuine	 adj.  真的； 真诚的
immune	 adj.  免疫的； 免除的， 豁免的
disjunction	 n.  分离， 分裂
impressive	 adj.  给人印象深刻的， 感人的
disgruntle	 v.  使不高兴
compound	 v.  掺和 n. 复合物
conventional	 adj.  因循守旧的， 传统的
sensory	 adj.  感觉的， 感官的
hypocrisy	 n.  伪善， 虚伪
relent	 adj.  变宽厚， 变温和， 怜悯
hypocrite	 n.  伪善者， 伪君子
purported	 adj.  传言的， 据称的
lubricant	 n.  润滑剂
sedulous	 adj.  聚精会神的； 勤勉的
annoy	 v.  惹恼； 打搅， 骚扰
orbital	 adj.  轨道的
blockbuster	 n.  巨型炸弹； 一鸣惊人的事物； 非常成功的书或电影
particulate	 adj. 微粒的 n.  微粒
solder	 v.  焊接， 焊在一起， 焊合
convulse	 v.  使剧烈震动； 震撼
unregenerate	 adj.  不悔改的
restatement	 n.  再声明， 重述
massacre	 n.  大屠杀
extort	 v.  勒索， 敲诈
bungle	 v.  笨拙地做
obsessive	 adj.  强迫性的， 急迫的； 使人着迷的
xenophobic	 adj.  恐外的， 恐惧外国人的
temporal	 adj.  时间的； 世俗的
covet	 v.  贪求， 妄想
symbolic	 adj.  符号的； 象征的
backdrop	 n.  背景； 背景幕布
underdog	 n.  居于下风者； 受欺负者， 受欺压者
dissimilar	 adj.  不同的， 不相似的
elongate	 v.  延长， 伸长
fray	 v.  磨破 n. 吵架，打斗
cosset	 v.  宠爱， 溺爱
mete	 v. 给予，分配；测量 n.  边界
impulse	 n.  动力， 刺激
asymmetric	 adj.  不对称的
remonstrance	 n.  抗议， 抱怨
unecological	 adj.  非生态的
debar	 v.  阻止
manure	 v.  给…施肥 n. 粪肥
ironic	 adj.  挖苦的， 讽刺的； 出乎意料的
permeable	 adj.  可渗透的
overrule	 v.  驳回， 否决
pusillanimous	 adj.  胆小的
fundamental	 adj.  根本的， 基本的； 十分重要的
fret	 v. 烦躁，焦虑 n.  烦躁， 焦虑
self-determination	 n.  自主， 自决
deliberation	 n.  细想， 考虑
promulgate	 v.  颁布； 宣传， 传播
monotony	 n.  单调， 千篇一律
lissome	 adj.  柔软的
fade	 v.  变暗， 褪色， 枯萎， 凋谢
overdue	 adj.  到期未付的； 晚来的， 延误的
retaliate	 v.  报复， 反击
galaxy	 n.  星系； 一群
unpalatable	 adj.  味道差的， 不好吃的； 令人不快的
weary	 adj. 疲劳的，疲倦的；令人厌烦的，令人厌倦的 v.  厌烦， 疲倦
jubilant	 adj.  欢呼的， 喜气洋洋的
exhaustiveness	 n.  全面, 详尽， 彻底
vainglorious	 adj.  自负的
bleary	 adj.  视线模糊的， 朦胧的； 精疲力尽的
ingrain	 adj. 根深蒂固的 n.  本质
cessation	 n.  中止， 停止
stagnation	 n.  停滞
extol	 v.  赞美
junction	 n.  交叉路口； 连接
crumble	 v.  弄碎； 崩溃
circumvent	 v.  回避； 用计谋战胜或回避
aspiring	 adj.  有抱负的， 有理想的
unregulated	 adj.  未受控制的， 未受约束的
dingy	 adj.  肮脏的， 昏暗的
shrug	 v.  耸肩
combative	 adj.  好斗的
verbatim	 adj.  逐字的， 照字面的
presentation	 n.  介绍， 描述
bumptious	 adj.  傲慢的， 自夸的
climactic	 adj.  高潮的
beseech	 v.  恳求
engrave	 v.  雕刻， 铭刻； 牢记， 铭记
ostentation	 n.  夸示， 炫耀
exhaustive	 adj.  彻底的， 无遗漏的
runic	 adj.  古北欧文字的； 神秘的
awkward	 adj.  笨拙的； 难用的； 不便的
glimmer	 v. 发微光 n.  摇曳的微光
ruin	 v.  毁坏； 毁灭； 使破产 n. 废墟；祸根；毁坏
vanilla	 n.  香草， 香子兰
exaltation	 n.  得意， 高兴
pester	 v.  纠缠， 烦扰
deprecation	 n.  反对
autobiographical	 adj.  自传的， 自传体的
abut	 v.  邻接， 毗邻
attune	 v.  使调和
disjunctive	 adj.  分离的； 转折的， 反意的
vital	 adj.  极其重要的； 充满活力的
salvage	 v. 抢救，海上救助 n.  海上救助
euphonious	 adj.  悦耳的
gulp	 v.  吞食， 咽下； 抵制， 忍住
delusion	 n.  欺骗； 幻想
ebullience	 n.  奔放， 兴高采烈； 沸腾
sequential	 adj.  连续的， 一连串的
detect	 v.  洞察； 查明， 探测
amateur	 n.  业余爱好者
condemn	 v.  谴责； 判刑
canvass	 v.  细查； 拉选票
resentment	 n.  愤恨， 怨恨
persnickety	 adj.  势利的； 爱挑剔的
lexicographer	 n.  词典编纂者
byline	 n.  标出作者名字的一行
illusory	 adj.  虚幻的
rapids	 n.  急流， 湍流
propaganda	 n.  宣传
inferior	 adj.  下级的， 下属的； 低等的， 较差的
ascetic	 adj. 禁欲的 n.  苦行者
dramatic	 adj.  戏剧的； 引人注目的； 戏剧般的
certainty	 n.  确定的事情
groundless	 adj.  无理由的， 无根据的
commend	 v.  推荐； 举荐； 表扬； 称赞
vicar	 n.  教区牧师
parasite	 n.  食客； 寄生物
archetype	 n.  原型； 典型
reportorial	 adj.  记者的； 报道的
